Oyuncu,Takim,Ana_Mevki,Yas,Piyasa_Degeri_Euro,Gol,Asist,Gol_Beklentisi_xG,Mac_Sayisi,Oynadigi_Sure_Dk,Uyruk,Genel_Pozisyon,Lig,Ilk_11,90_Dk_Sayisi,Skor_Katkisi,Penaltisiz_Gol,Penalti_Gol,Penalti_Kullanimi,Sari_Kart,Kirmizi_Kart,Penaltisiz_Gol_Beklentisi_npxG,Asist_Beklentisi_xAG,Penaltisiz_Toplam_Beklenti,Top_Surme_Mesafe,Ileri_Pas_Sayisi,Ileri_Pas_Alma,Mac_Basi_Gol,Mac_Basi_Asist,Mac_Basi_Skor_Katkisi,Mac_Basi_Penaltisiz_Gol,Mac_Basi_Penaltisiz_Skor,Mac_Basi_xG,Mac_Basi_Asist_Beklentisi,Mac_Basi_Toplam_Beklenti,Mac_Basi_Penaltisiz_xG,Mac_Basi_Penaltisiz_Toplam_Beklenti,Boy_m,Ayak,Yas_Detay,Top_Calma_Toplam,Kazanilan_Top_Calma,Top_Calma_Defans_Bolgesi,Top_Calma_Orta_Saha,Top_Calma_Hucum_Bolgesi,Dribbling_Kesme,Calim_Yeme,Blok_Toplam,Sut_Blogu,Pas_Blogu,Pas_Arasi,Uzaklastirma,Hata_Gol_Yediren
Martin Ødegaard,Arsenal,On Numara,26.0,75000000.0,0.0,1.0,0.4,10.0,451.0,NOR,MF,Premier League (ING),6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.4,18.0,57.0,13.0,0.0,0.2,0.2,0.0,0.2,0.08,0.2,0.29,0.08,0.29,1.78,Sol ayak,27-000,7.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0
Piero Hincapie,Arsenal,Stoper,23.0,50000000.0,0.0,0.0,0.0,7.0,475.0,ECU,DF,Premier League (ING),5.0,5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,5.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,1.84,Sol ayak,23-342,9.0,4.0,4.0,2.0,3.0,1.0,6.0,8.0,4.0,4.0,8.0,26.0,0.0
Noni Madueke,Arsenal,Sag Kanat,23.0,50000000.0,0.0,0.0,0.5,9.0,423.0,ENG,FW,Premier League (ING),5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.3,28.0,14.0,67.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.28,0.1,0.28,1.82,Sol ayak,23-282,5.0,3.0,0.0,1.0,4.0,5.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0
Gabriel Martinelli,Arsenal,Sol Kanat,24.0,45000000.0,1.0,0.0,1.3,12.0,397.0,BRA,FW,Premier League (ING),5.0,4.4,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.2,1.5,12.0,10.0,24.0,0.23,0.0,0.23,0.23,0.23,0.31,0.04,0.34,0.31,0.34,1.78,Sag ayak,24-182,3.0,3.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,0.0,3.0,0.0
Cristhian Mosquera,Arsenal,Stoper,21.0,35000000.0,0.0,0.0,0.0,10.0,433.0,ESP,DF,Premier League (ING),4.0,4.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,8.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.91,Sag ayak,21-173,11.0,7.0,6.0,4.0,1.0,6.0,1.0,3.0,2.0,1.0,6.0,15.0,0.0
Ben White,Arsenal,Sag Bek,28.0,30000000.0,0.0,1.0,0.4,4.0,280.0,ENG,DF,Premier League (ING),4.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,1.1,6.0,21.0,11.0,0.0,0.32,0.32,0.0,0.32,0.12,0.24,0.36,0.12,0.36,1.86,Sag ayak,28-070,11.0,7.0,5.0,4.0,2.0,5.0,3.0,9.0,3.0,6.0,1.0,12.0,0.0
Myles Lewis-Skelly,Arsenal,Sol Bek,19.0,40000000.0,0.0,0.0,0.1,11.0,203.0,ENG,DF,Premier League (ING),0.0,2.3,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,1.78,Sol ayak,19-082,3.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,2.0,6.0,0.0
Ethan Nwaneri,Arsenal,On Numara,18.0,40000000.0,0.0,0.0,0.2,6.0,171.0,ENG,MF,Premier League (ING),0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,7.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,1.76,Sol ayak,18-271,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0
Kai Havertz,Arsenal,Santrafor,26.0,55000000.0,0.0,0.0,0.0,1.0,31.0,GER,FW,Premier League (ING),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,Sol ayak,26-189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Christian Nørgaard,Arsenal,On Libero,31.0,9000000.0,0.0,0.0,0.1,2.0,15.0,DEN,MF,Premier League (ING),0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,1.87,Sag ayak,31-282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Gabriel Jesus,Arsenal,Santrafor,28.0,20000000.0,0.0,0.0,0.1,1.0,10.0,BRA,FW,Premier League (ING),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,1.11,1.11,1.75,Sag ayak,28-258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Erling Haaland,Manchester City,Santrafor,25.0,200000000.0,17.0,3.0,15.4,0.0,1371.0,NOR,FW,Premier League (ING),16.0,15.2,20.0,16.0,1.0,2.0,0.0,0.0,13.8,2.2,16.0,26.0,10.0,46.0,1.12,0.2,1.31,1.05,1.25,1.01,0.15,1.16,0.9,1.05,1.95,Sol ayak,25-149,7.0,4.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,28.0,0.0
Ruben Dias,Manchester City,Stoper,28.0,60000000.0,2.0,0.0,0.3,0.0,1356.0,POR,DF,Premier League (ING),15.0,15.1,2.0,2.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,13.0,63.0,0.0,0.13,0.0,0.13,0.13,0.13,0.02,0.01,0.03,0.02,0.03,1.87,Sag ayak,28-217,7.0,5.0,3.0,4.0,0.0,6.0,2.0,20.0,14.0,6.0,14.0,79.0,2.0
Phil Foden,Manchester City,Sag Kanat,25.0,80000000.0,7.0,2.0,4.0,0.0,1135.0,ENG,MF,Premier League (ING),13.0,12.6,9.0,7.0,0.0,0.0,3.0,0.0,4.0,2.3,6.3,18.0,57.0,58.0,0.56,0.16,0.71,0.56,0.71,0.31,0.18,0.5,0.31,0.5,1.71,Sol ayak,25-203,19.0,11.0,12.0,5.0,2.0,10.0,6.0,6.0,2.0,4.0,4.0,11.0,1.0
Matheus Nunes,Manchester City,Sag Bek,27.0,38000000.0,1.0,3.0,0.2,0.0,1144.0,POR,DF,Premier League (ING),12.0,12.7,4.0,1.0,0.0,0.0,2.0,0.0,0.2,0.8,1.0,29.0,53.0,61.0,0.08,0.24,0.31,0.08,0.31,0.02,0.06,0.08,0.02,0.08,1.83,Sag ayak,27-112,19.0,14.0,10.0,5.0,4.0,11.0,11.0,14.0,4.0,10.0,18.0,54.0,2.0
Nico O’Reilly,Manchester City,Sol Bek,20.0,40000000.0,1.0,3.0,2.0,0.0,1135.0,ENG,DF,Premier League (ING),12.0,12.6,4.0,1.0,0.0,0.0,2.0,0.0,2.0,2.4,4.4,38.0,25.0,63.0,0.08,0.24,0.32,0.08,0.32,0.16,0.19,0.35,0.16,0.35,1.93,Sol ayak,20-271,38.0,17.0,15.0,15.0,8.0,21.0,9.0,23.0,5.0,18.0,11.0,45.0,1.0
Bernardo Silva,Manchester City,On Numara,31.0,27000000.0,0.0,2.0,0.2,0.0,1068.0,POR,MF,Premier League (ING),12.0,11.9,2.0,0.0,0.0,0.0,4.0,0.0,0.2,2.0,2.2,23.0,52.0,51.0,0.0,0.17,0.17,0.0,0.17,0.02,0.17,0.19,0.02,0.19,1.73,Sol ayak,31-129,15.0,7.0,7.0,7.0,1.0,7.0,9.0,8.0,2.0,6.0,10.0,17.0,0.0
Josko Gvardiol,Manchester City,Stoper,23.0,70000000.0,2.0,1.0,1.2,0.0,1038.0,CRO,DF,Premier League (ING),12.0,11.5,3.0,2.0,0.0,0.0,2.0,0.0,1.2,0.3,1.5,12.0,71.0,4.0,0.17,0.09,0.26,0.17,0.26,0.1,0.03,0.13,0.1,0.13,1.85,Sol ayak,23-328,12.0,8.0,7.0,4.0,1.0,3.0,1.0,14.0,7.0,7.0,11.0,49.0,2.0
Tijjani Reijnders,Manchester City,Merkez Orta Saha,27.0,65000000.0,2.0,2.0,2.7,0.0,1033.0,NED,MF,Premier League (ING),12.0,11.5,4.0,2.0,0.0,0.0,2.0,0.0,2.7,2.0,4.7,31.0,48.0,43.0,0.17,0.17,0.35,0.17,0.35,0.23,0.18,0.41,0.23,0.41,1.85,Sag ayak,27-141,8.0,4.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,4.0,16.0,1.0
Nicolas Gonzalez,Manchester City,Sol Kanat,23.0,24000000.0,1.0,0.0,0.5,0.0,1071.0,ESP,MF,Premier League (ING),11.0,11.9,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,1.0,20.0,62.0,11.0,0.08,0.0,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08,1.8,Sol ayak,23-348,26.0,21.0,7.0,14.0,5.0,12.0,5.0,12.0,5.0,7.0,11.0,37.0,1.0
Jeremy Doku,Manchester City,Sol Kanat,23.0,65000000.0,1.0,4.0,1.4,0.0,938.0,BEL,MF,Premier League (ING),11.0,10.4,5.0,1.0,0.0,0.0,0.0,0.0,1.4,6.1,7.6,101.0,48.0,110.0,0.1,0.38,0.48,0.1,0.48,0.14,0.59,0.73,0.14,0.73,1.73,Sag ayak,23-204,10.0,7.0,3.0,2.0,5.0,4.0,4.0,3.0,0.0,3.0,7.0,0.0,0.0
Rayan Cherki,Manchester City,Sag Kanat,22.0,50000000.0,1.0,6.0,1.0,0.0,488.0,FRA,MF,Premier League (ING),6.0,5.4,7.0,1.0,0.0,0.0,1.0,0.0,1.0,3.5,4.4,30.0,34.0,33.0,0.18,1.11,1.29,0.18,1.29,0.18,0.64,0.82,0.18,0.82,1.77,Cift ayak,22-122,7.0,4.0,4.0,3.0,0.0,5.0,8.0,1.0,0.0,1.0,2.0,3.0,0.0
Oscar Bobb,Manchester City,Sag Kanat,22.0,25000000.0,0.0,1.0,0.4,0.0,468.0,NOR,MF,Premier League (ING),5.0,5.2,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.7,1.1,17.0,18.0,55.0,0.0,0.19,0.19,0.0,0.19,0.08,0.13,0.21,0.08,0.21,1.75,Sol ayak,22-158,8.0,5.0,3.0,3.0,2.0,4.0,3.0,9.0,0.0,9.0,3.0,1.0,0.0
John Stones,Manchester City,Stoper,31.0,18000000.0,0.0,0.0,0.0,0.0,353.0,ENG,DF,Premier League (ING),4.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.88,Sag ayak,31-203,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,14.0,0.0
Rodri,Manchester City,On Libero,29.0,75000000.0,0.0,0.0,0.1,0.0,293.0,ESP,MF,Premier League (ING),4.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,4.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,1.91,Sag ayak,29-178,6.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,11.0,1.0
Abdukodir Khusanov,Manchester City,Stoper,21.0,35000000.0,0.0,0.0,0.0,0.0,228.0,UZB,DF,Premier League (ING),3.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,Sag ayak,21-291,7.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,0.0,3.0,5.0,11.0,0.0
Rayan Ait-Nouri,Manchester City,Sol Bek,24.0,40000000.0,0.0,0.0,0.0,0.0,204.0,ALG,DF,Premier League (ING),3.0,2.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.3,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,1.8,Sol ayak,24-194,9.0,6.0,7.0,2.0,0.0,3.0,4.0,5.0,0.0,5.0,5.0,9.0,0.0
Omar Marmoush,Manchester City,Santrafor,26.0,65000000.0,0.0,1.0,1.2,0.0,211.0,EGY,FW,Premier League (ING),2.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,2.2,7.0,5.0,20.0,0.0,0.43,0.43,0.0,0.43,0.52,0.43,0.95,0.52,0.95,1.83,Sag ayak,26-313,3.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0
Rico Lewis,Manchester City,Sag Bek,21.0,35000000.0,0.0,1.0,0.0,0.0,185.0,ENG,DF,Premier League (ING),2.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,19.0,9.0,0.0,0.49,0.49,0.0,0.49,0.01,0.49,0.5,0.01,0.5,1.7,Sag ayak,21-026,3.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,6.0,0.0
Nathan Ake,Manchester City,Stoper,30.0,18000000.0,0.0,0.0,0.3,0.0,227.0,NED,DF,Premier League (ING),1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,4.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.11,0.14,1.8,Sol ayak,30-302,3.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0
Mateo Kovacic,Manchester City,Merkez Orta Saha,31.0,15000000.0,0.0,0.0,0.0,0.0,5.0,CRO,MF,Premier League (ING),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,Sag ayak,31-225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Rogers,Aston Villa,On Numara,23.0,70000000.0,5.0,3.0,1.7,16.0,1426.0,ENG,FW,Premier League (ING),16.0,15.8,8.0,5.0,0.0,0.0,2.0,0.0,1.7,1.9,3.6,31.0,48.0,96.0,0.32,0.19,0.5,0.32,0.5,0.11,0.12,0.23,0.11,0.23,1.87,Sag ayak,23-144,18.0,10.0,4.0,9.0,5.0,8.0,10.0,10.0,1.0,9.0,8.0,14.0,1.0
Matty Cash,Aston Villa,Sag Bek,28.0,22000000.0,3.0,1.0,0.6,16.0,1411.0,POL,DF,Premier League (ING),16.0,15.7,4.0,3.0,0.0,0.0,4.0,0.0,0.6,1.5,2.1,24.0,53.0,66.0,0.19,0.06,0.26,0.19,0.26,0.04,0.09,0.13,0.04,0.13,1.85,Sag ayak,28-132,29.0,17.0,21.0,8.0,0.0,16.0,18.0,17.0,7.0,10.0,12.0,57.0,1.0
John McGinn,Aston Villa,Merkez Orta Saha,31.0,15000000.0,1.0,1.0,1.0,16.0,1234.0,SCO,FW,Premier League (ING),16.0,13.7,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.9,2.9,21.0,58.0,42.0,0.07,0.07,0.15,0.07,0.15,0.08,0.14,0.21,0.08,0.21,1.78,Sol ayak,31-060,24.0,13.0,10.0,9.0,5.0,10.0,11.0,13.0,3.0,10.0,10.0,11.0,0.0
Ezri Konsa,Aston Villa,Stoper,28.0,35000000.0,0.0,0.0,0.3,15.0,1325.0,ENG,DF,Premier League (ING),15.0,14.7,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.1,0.4,7.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1.83,Sag ayak,28-055,8.0,2.0,4.0,4.0,0.0,2.0,1.0,18.0,12.0,6.0,8.0,57.0,2.0
Ollie Watkins,Aston Villa,Santrafor,29.0,30000000.0,3.0,0.0,4.5,16.0,1194.0,ENG,FW,Premier League (ING),14.0,13.3,3.0,3.0,0.0,0.0,0.0,0.0,4.5,1.2,5.7,27.0,14.0,87.0,0.23,0.0,0.23,0.23,0.23,0.34,0.09,0.43,0.34,0.43,1.8,Sag ayak,29-352,8.0,4.0,1.0,4.0,3.0,2.0,2.0,7.0,0.0,7.0,3.0,7.0,0.0
Boubacar Kamara,Aston Villa,On Libero,26.0,40000000.0,1.0,3.0,0.2,14.0,1071.0,FRA,MF,Premier League (ING),13.0,11.9,4.0,1.0,0.0,0.0,4.0,0.0,0.2,0.7,0.9,9.0,59.0,7.0,0.08,0.25,0.34,0.08,0.34,0.02,0.06,0.08,0.02,0.08,1.84,Sag ayak,26-024,27.0,14.0,14.0,10.0,3.0,13.0,12.0,15.0,6.0,9.0,12.0,18.0,1.0
Lucas Digne,Aston Villa,Sol Bek,32.0,8000000.0,0.0,3.0,0.4,15.0,990.0,FRA,DF,Premier League (ING),12.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.4,0.9,1.3,11.0,27.0,73.0,0.0,0.27,0.27,0.0,0.27,0.04,0.09,0.12,0.04,0.12,1.78,Sol ayak,32-150,16.0,11.0,11.0,2.0,3.0,14.0,9.0,5.0,0.0,5.0,7.0,33.0,0.0
Pau Torres,Aston Villa,Stoper,28.0,25000000.0,0.0,0.0,0.2,12.0,954.0,ESP,DF,Premier League (ING),10.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,10.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1.92,Sol ayak,28-335,15.0,10.0,8.0,7.0,0.0,9.0,7.0,13.0,12.0,1.0,6.0,41.0,1.0
Amadou Onana,Aston Villa,On Libero,24.0,42000000.0,2.0,0.0,0.4,11.0,728.0,BEL,MF,Premier League (ING),9.0,8.1,2.0,2.0,0.0,0.0,2.0,0.0,0.4,0.0,0.4,8.0,37.0,4.0,0.25,0.0,0.25,0.25,0.25,0.05,0.0,0.06,0.05,0.06,1.95,Sag ayak,24-123,24.0,16.0,9.0,13.0,2.0,9.0,5.0,10.0,7.0,3.0,11.0,27.0,2.0
Youri Tielemans,Aston Villa,Merkez Orta Saha,28.0,35000000.0,0.0,2.0,0.7,10.0,693.0,BEL,MF,Premier League (ING),8.0,7.7,2.0,0.0,0.0,0.0,0.0,0.0,0.7,1.6,2.3,10.0,44.0,19.0,0.0,0.26,0.26,0.0,0.26,0.09,0.21,0.29,0.09,0.29,1.77,Sag ayak,28-224,20.0,13.0,6.0,13.0,1.0,8.0,8.0,12.0,5.0,7.0,6.0,5.0,0.0
Evann Guessand,Aston Villa,Sag Kanat,24.0,28000000.0,0.0,1.0,1.0,11.0,508.0,CIV,FW,Premier League (ING),6.0,5.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.6,12.0,8.0,27.0,0.0,0.18,0.18,0.0,0.18,0.17,0.11,0.28,0.17,0.28,1.88,Sag ayak,24-169,16.0,9.0,6.0,9.0,1.0,5.0,3.0,9.0,1.0,8.0,0.0,7.0,0.0
Tyrone Mings,Aston Villa,Stoper,32.0,4000000.0,0.0,0.0,0.3,7.0,498.0,ENG,DF,Premier League (ING),6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,1.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,1.96,Sol ayak,32-279,2.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,1.0,4.0,31.0,0.0
Donyell Malen,Aston Villa,Santrafor,26.0,25000000.0,4.0,1.0,3.2,16.0,526.0,NED,FW,Premier League (ING),4.0,5.8,5.0,4.0,0.0,0.0,0.0,0.0,3.2,0.4,3.6,13.0,13.0,34.0,0.68,0.17,0.86,0.68,0.86,0.54,0.06,0.61,0.54,0.61,1.76,Sag ayak,26-342,4.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,0.0,4.0,0.0,3.0,0.0
